userid,name,screenname,location,accountcreated,follower,friend,verified
892670807121330177,Ferdy Agusman,gusmanerdy,Medan,2017-08-02,6,14,0
277434635,Karina angelika,karigel13,between his lungs,2011-04-05,417,378,0
544170238,Kanjeng Sultan,ayiekkresna,"Kota Surabaya, Jawa Timur",2012-04-03,590,333,0
1356180001888976899,UrExtacy,6hndrd6ty6,Bikini Bottom,2021-02-01,2,114,0
1168873359741874176,bela,twingkerbelll,Indonesia,2019-09-03,42,48,0
1116526549983907841,Ranok89,Ranok89,Indonesia,2019-04-12,11,430,0
344511728,Chantana Samorn,allibays,Indonesia,2011-07-29,308,164,0
324721467,cucunya jack ma,regardejevois,Jekardah ,2011-06-27,1153,737,0
1144914207772569600,ساتريو,satriyow50,"Jawa Timur, Indonesia",2019-06-29,173,183,0
249519358,happygirlyangsadgirl,yurnavitaM_,"DKI Jakarta, Indonesia",2011-02-09,351,248,0
826294013695184897,Mbak e,non_aana,"Karawang, Jawa Barat",2017-01-31,179,478,0
1165135104391335939,Mandung,maspip__,Gua Hira,2019-08-24,312,979,0
1308623832148705280,u cant si mi,activitiesboy,Indonesia,2020-09-23,0,68,0
608326983,Cuci tangan pake,ethanol70persen,earth,2012-06-14,254,289,0
533034538,IBUN,Luluawaliyah_,Path & IG: luluawaliyah_,2012-03-22,288,231,0
1237361967481753600,salsaa,bukansayakokk,"Badung, Bali",2020-03-10,47,49,0
938725346,Manusia.,itstitaaale,"Jakarta Selatan, DKI Jakarta",2012-11-10,1799,1014,0
71721511,Yudi,yudinuralim,Indonesia,2009-09-05,573,416,0
1176293709819727872,vir.a.go✨,jodohnyalu,Indonesia,2019-09-24,15,73,0
2467481154,anormale,naimmsh,Indonesia,2014-04-28,77,64,0
149729450,Ido Brilliant,idobrill,"Yogyakarta, Indonesia",2010-05-30,327,156,0
1126129825998036992,arsyadi,seringngawurr,kaley,2019-05-08,119,158,0
1274380309618765828,📌Printilan X1 & SKZ | Menabung untuk Dainsleif,ehetenandayow,Indonesia,2020-06-20,165,255,0
1063399168218083328,Yasmina Ayesha,yasminaayesha_,Indonesia,2018-11-16,32,55,0
78233280,God Usopp,rizkyp8mei,Hoghwarts,2009-09-29,692,718,0
1037469219728674817,Team Hi-kun,younschoo,Indonesia,2018-09-05,92,153,0
1647718849,Ny ❤,sanny_sinagaa,pematang siantar,2013-08-05,389,352,0
143817073,Aria,ariaddin,Indonesien,2010-05-14,286,285,0
35146436,ᴅɪᴍᴋʜ,didimz,Indonesia,2009-04-25,1643,488,0
1346306154637377537,saki 🌙,nakamotosakiii,Indonesia,2021-01-05,280,280,0
231634556,#ngombeyuk,AdeBagussR,ponorogo,2010-12-29,711,602,0
479713027,Wanderlust,tarunahadi,menuju-Mu,2012-01-31,258,300,0
1237361967481753600,salsaa,bukansayakokk,"Badung, Bali",2020-03-10,47,49,0
143817073,Aria,ariaddin,Indonesien,2010-05-14,286,285,0
1667491388,Qtrnnd,retfelfetlatte,Indonesia,2013-08-13,408,160,0
1231213154719322113,Luvyy,Luvyy13,Indonesia,2020-02-22,2,16,0
1215311860712345600,Lia Amalia,liaamalia_04,Indonesia,2020-01-09,18,26,0
235950610,Adam Rahmawan,adamrizaa,Java | Santiago Bernabeu,2011-01-09,593,185,0
1110370789612634112,.,pluviioo,Indonesia,2019-03-26,23,25,0
549768680,Ramdan,pemudamijah12,022,2012-04-10,497,173,0
1037469219728674817,Team Hi-kun,younschoo,Indonesia,2018-09-05,92,153,0
244505138,NΔ•,dinasumarna,enjoy your stalking,2011-01-29,1193,325,0
1070835104,Putri Fadillah,putfadila,Medan - Indonesia,2013-01-08,351,168,0
1209393348164734976,Keturunan ke 3/5,Wa_Fii_,Indonesia,2019-12-24,40,873,0
1539273018,Ambar,Awtnr_,"Makassar, Indonesia",2013-06-22,2042,1093,0
1539273018,Ambar,Awtnr_,"Makassar, Indonesia",2013-06-22,2042,1093,0
1214020396275515393,Alma,laifzmr,Indonesia,2020-01-06,5,42,0
291486023,nasigoreng,XeniaSania,indonesia,2011-05-02,153,620,0
2495427762,ratna hk,awtwol,"Kota Kediri, Indonesia",2014-05-15,231,165,0
768321514261184512,unknownnnnnn,thisisnotgaldot,Hatimu yg plg dalam,2016-08-24,143,320,0
852827101,Habibah chaeruiman,habibahchaerui,Tangerang-Indonesia,2012-09-29,257,238,0
183310855,𝓜𝓫𝓪𝓴 𝓓𝓲,DianYumul,Surabaya,2010-08-26,29,129,0
149454629,dhan,makeyouminexxx,Indonesia,2010-05-29,576,606,0
141485791,Reni Ayu Puspitasari,reni_ayuP,Surabaya,2010-05-08,364,406,0
864334585860980737,haibunda,haibundacom,Indonesia,2017-05-16,5927,35,0
1186524383067557889,Huda,Hudaaa0795,Unknown,2019-10-22,23,26,0
808150947079733249,makmummu,itsme2999,Indonesia,2016-12-12,24,62,0
1839309848,-,coklathitam99,Indonesia,2013-09-09,550,439,0
963718574,sung bora,Atikartna,Bekasi - Jakarta,2012-11-22,408,379,0
723031176,ZA,zaprdt,West,2012-07-28,409,681,0
262602773,A.Pratiwi♚,ayprtiwi,"ÜT: -5.3656,105.24561",2011-03-08,679,379,0
186810287,ncip.,sifanazfh,Indonesia,2010-09-04,459,304,0
68918113,Nabilla,Audwita,+62,2009-08-26,446,443,0
257896375,sweet cheese,dwidollymputri,Bengkulu-Padang,2011-02-26,1451,580,0
1559217007,sesey,SEYJN,Indonesia,2013-06-30,766,345,0
119733533,Umar Fadhlurrachman,umarfadhlur,Indonesia,2010-03-04,691,466,0
353082920,Stuck.,_agajigi,Indonesia,2011-08-11,578,317,0
856143597506142208,SleepyHead,bynewrules,"Bogor, Jawa Barat",2017-04-23,397,291,0
555681742,Indah Tri Wahyuni,indah_lulhaq,Bandar Lampung,2012-04-17,644,1429,0
1207240980,rimo ツ,rimadj_,Indonesia,2013-02-22,409,263,0
367822593,nazarekt,duckbathriver,Saint,2011-09-04,321,270,0
1288202978,Del,dellafisap,BGR,2013-03-22,102,103,0
1041522676165046274,ftmh,fatimahcp_,Indonesia,2018-09-17,59,78,0
916021640,Zaroh Rodhiani,zarohrdhi,Indonesia,2012-10-31,243,984,0
